product_id,product_name,category,brand,series,model,digital_inputs,digital_outputs,analog_inputs,analog_outputs,output_type,power_supply,communication,protocol,power_kw,input_voltage,output_voltage,phase,control_mode,motor_type,screen_size,resolution,touch_type,port_count,port_type,speed,poe_support,managed_type,fiber_ports,temperature_range,application,match_keywords
PLC-X100-8DI6DO-R,AutoLink PLC X100 8DI/6DO Relay,PLC,AutoLink,X100,X100-8DI6DO-R,8,6,0,0,relay,24V DC,RS485,Modbus RTU,,,,,,,,,,,,,,,,,small machine control; packaging machine,PLC;8DI;6DO;relay;RS485
PLC-X200-16DI8DO-T,AutoLink PLC X200 16DI/8DO Transistor,PLC,AutoLink,X200,X200-16DI8DO-T,16,8,0,0,transistor,24V DC,RS485,Modbus RTU,,,,,,,,,,,,,,,,,packaging machine; conveyor control,PLC;16DI;8DO;transistor;RS485
PLC-X200-16DI16DO-R,AutoLink PLC X200 16DI/16DO Relay,PLC,AutoLink,X200,X200-16DI16DO-R,16,16,0,0,relay,24V DC,"RS485,Ethernet","Modbus RTU,Modbus TCP",,,,,,,,,,,,,,,,,conveyor line; batching system,PLC;16DI;16DO;relay;Ethernet
PLC-CM300-24DI16DO-E,ControlMax CM300 24DI/16DO Ethernet PLC,PLC,ControlMax,CM300,CM300-24DI16DO-E,24,16,2,2,transistor,24V DC,"Ethernet,RS485","Modbus TCP,Modbus RTU",,,,,,,,,,,,,,,,,machine automation; remote monitoring,PLC;Ethernet;24DI;16DO;Modbus TCP
PLC-CM300-32DI32DO-E,ControlMax CM300 32DI/32DO Ethernet PLC,PLC,ControlMax,CM300,CM300-32DI32DO-E,32,32,4,2,transistor,24V DC,Ethernet,Modbus TCP,,,,,,,,,,,,,,,,,production line; multi-station control,PLC;32DI;32DO;Ethernet
PLC-Micro-12IO-RS485,AutoLink Micro PLC 12IO RS485,PLC,AutoLink,Micro,Micro-12IO,8,4,0,0,relay,24V DC,RS485,Modbus RTU,,,,,,,,,,,,,,,,,small equipment; pump control,micro PLC;small machine;RS485
PLC-X150-12DI8DO-CAN,AutoLink PLC X150 12DI/8DO CANopen,PLC,AutoLink,X150,X150-12DI8DO,12,8,0,0,transistor,24V DC,"CAN,RS485","CANopen,Modbus RTU",,,,,,,,,,,,,,,,,motion control; compact machines,PLC;CANopen;12DI;8DO
PLC-CM500-40DI40DO-E,ControlMax CM500 40DI/40DO Advanced PLC,PLC,ControlMax,CM500,CM500-40DI40DO-E,40,40,4,4,transistor,24V DC,"Ethernet,RS485","Modbus TCP,Profinet-compatible",,,,,,,,,,,,,,,,,large machine control; production line,PLC;advanced;Profinet compatible;Ethernet
PLC-X200-8AI4AO,AutoLink X200 Analog Expansion Module 8AI/4AO,PLC,AutoLink,X200,X200-8AI4AO,0,0,8,4,,24V DC,Backplane,X200 Bus,,,,,,,,,,,,,,,,,temperature; pressure; analog signal acquisition,PLC expansion;analog input;analog output
PLC-X200-16DI-EXP,AutoLink X200 Digital Input Expansion 16DI,PLC,AutoLink,X200,X200-16DI-EXP,16,0,0,0,,24V DC,Backplane,X200 Bus,,,,,,,,,,,,,,,,,input expansion; sensor signals,PLC expansion;digital input;16DI
VFD-D100-0R75S-220V,DrivePro D100 0.75kW 220V Single Phase VFD,VFD,DrivePro,D100,D100-0R75S,,,,,,,RS485,Modbus RTU,0.75,220V,220V,single phase,V/F,AC motor,,,,,,,,,,,fan; pump; small conveyor,VFD;0.75kW;220V;single phase
VFD-D100-1R5S-220V,DrivePro D100 1.5kW 220V Single Phase VFD,VFD,DrivePro,D100,D100-1R5S,,,,,,,RS485,Modbus RTU,1.5,220V,220V,single phase,V/F,AC motor,,,,,,,,,,,conveyor; small machine,VFD;1.5kW;220V
VFD-D200-2R2T-380V,DrivePro D200 2.2kW 380V Three Phase VFD,VFD,DrivePro,D200,D200-2R2T,,,,,,,RS485,Modbus RTU,2.2,380V,380V,three phase,"V/F,sensorless vector",AC motor,,,,,,,,,,,pump; fan; conveyor,VFD;2.2kW;380V;pump
VFD-D200-4R0T-380V,DrivePro D200 4kW 380V Three Phase VFD,VFD,DrivePro,D200,D200-4R0T,,,,,,,RS485,Modbus RTU,4.0,380V,380V,three phase,sensorless vector,AC motor,,,,,,,,,,,pump; mixer; conveyor,VFD;4kW;380V
VFD-D300-5R5T-380V,DrivePro D300 5.5kW Vector Control VFD,VFD,DrivePro,D300,D300-5R5T,,,,,,,"RS485,Ethernet","Modbus RTU,Modbus TCP",5.5,380V,380V,three phase,vector control,AC motor,,,,,,,,,,,extruder; heavy conveyor,VFD;5.5kW;vector;Ethernet
VFD-D300-7R5T-380V,DrivePro D300 7.5kW 380V Vector VFD,VFD,DrivePro,D300,D300-7R5T,,,,,,,"RS485,Ethernet","Modbus RTU,Modbus TCP",7.5,380V,380V,three phase,vector control,AC motor,,,,,,,,,,,pump; fan; hoist,VFD;7.5kW;380V
VFD-PF200-11KT,PowerFlexer PF200 11kW Heavy Duty VFD,VFD,PowerFlexer,PF200,PF200-11KT,,,,,,,RS485,Modbus RTU,11.0,380V,380V,three phase,sensorless vector,AC motor,,,,,,,,,,,compressor; heavy pump,VFD;11kW;heavy duty
VFD-PF300-15KT,PowerFlexer PF300 15kW Ethernet VFD,VFD,PowerFlexer,PF300,PF300-15KT,,,,,,,"Ethernet,RS485","Modbus TCP,Modbus RTU",15.0,380V,380V,three phase,vector control,AC motor,,,,,,,,,,,central conveyor; industrial pump,VFD;15kW;Ethernet
VFD-D200-2R2S-220V,DrivePro D200 2.2kW 220V VFD,VFD,DrivePro,D200,D200-2R2S,,,,,,,RS485,Modbus RTU,2.2,220V,220V,single phase,sensorless vector,AC motor,,,,,,,,,,,small spindle; conveyor,VFD;2.2kW;220V
VFD-D300-18R5T-380V,DrivePro D300 18.5kW High Performance VFD,VFD,DrivePro,D300,D300-18R5T,,,,,,,"Ethernet,RS485","Modbus TCP,Modbus RTU",18.5,380V,380V,three phase,vector control,AC motor,,,,,,,,,,,large fan; water treatment,VFD;18.5kW;water treatment
HMI-P430-RS485,PanelMate P430 4.3-inch RS485 HMI,HMI,PanelMate,P430,P430-RS485,,,,,,24V DC,RS485,Modbus RTU,,,,,,,4.3 inch,480x272,resistive,,,,,,,,small machine panel; pump control,HMI;4.3 inch;RS485;Modbus RTU
HMI-P700E-ETH,PanelMate P700E 7-inch Ethernet HMI,HMI,PanelMate,P700E,P700E-ETH,,,,,,24V DC,"Ethernet,RS485","Modbus TCP,Modbus RTU",,,,,,,7 inch,800x480,resistive,,,,,,,,packaging line; PLC control panel,HMI;7 inch;Ethernet;Modbus TCP
HMI-P700S-RS485,PanelMate P700S 7-inch Serial HMI,HMI,PanelMate,P700S,P700S-RS485,,,,,,24V DC,"RS485,RS232",Modbus RTU,,,,,,,7 inch,800x480,resistive,,,,,,,,machine monitoring; compact panel,HMI;7 inch;RS485
HMI-P1010E-ETH,PanelMate P1010E 10.1-inch Ethernet HMI,HMI,PanelMate,P1010E,P1010E-ETH,,,,,,24V DC,"Ethernet,RS485","Modbus TCP,Modbus RTU",,,,,,,10.1 inch,1024x600,capacitive,,,,,,,,production line; equipment monitoring,HMI;10.1 inch;Ethernet
HMI-Vision700-E,VisionPanel 7-inch Ethernet HMI,HMI,VisionPanel,Vision700,Vision700-E,,,,,,24V DC,Ethernet,Modbus TCP,,,,,,,7 inch,1024x600,capacitive,,,,,,,,smart machine; data display,HMI;7 inch;capacitive;Ethernet
HMI-Vision1010-E,VisionPanel 10.1-inch High Resolution HMI,HMI,VisionPanel,Vision1010,Vision1010-E,,,,,,24V DC,"Ethernet,RS485","Modbus TCP,Modbus RTU",,,,,,,10.1 inch,1280x800,capacitive,,,,,,,,factory monitoring; SCADA panel,HMI;10.1 inch;high resolution
HMI-P1500E,PanelMate P1500E 15-inch Industrial HMI,HMI,PanelMate,P1500E,P1500E,,,,,,24V DC,"Ethernet,RS485","Modbus TCP,Modbus RTU",,,,,,,15 inch,1366x768,capacitive,,,,,,,,large machine interface; production dashboard,HMI;15 inch;Ethernet
HMI-P430E-ETH,PanelMate P430E 4.3-inch Ethernet HMI,HMI,PanelMate,P430E,P430E-ETH,,,,,,24V DC,"Ethernet,RS485","Modbus TCP,Modbus RTU",,,,,,,4.3 inch,480x272,resistive,,,,,,,,compact panel; PLC monitoring,HMI;4.3 inch;Ethernet
HMI-P700W-WIFI,PanelMate P700W 7-inch WiFi HMI,HMI,PanelMate,P700W,P700W-WIFI,,,,,,24V DC,"Ethernet,WiFi,RS485","Modbus TCP,Modbus RTU",,,,,,,7 inch,800x480,capacitive,,,,,,,,remote monitoring; packaging machine,HMI;WiFi;7 inch
HMI-Vision1200-E,VisionPanel 12-inch Ethernet HMI,HMI,VisionPanel,Vision1200,Vision1200-E,,,,,,24V DC,"Ethernet,RS485","Modbus TCP,Modbus RTU",,,,,,,12.1 inch,1280x800,capacitive,,,,,,,,industrial control room; line monitoring,HMI;12 inch;Ethernet
ISW-5FE-U,NetLine 5-Port 100M Unmanaged Industrial Switch,Industrial Switch,NetLine,ISW,5FE-U,,,,,,12-48V DC,,,,,,,,,,,,5,RJ45,100M,No,unmanaged,0,-20°C to 70°C,PLC network; small cabinet,industrial switch;5 port;unmanaged;100M
ISW-8FE-U,NetLine 8-Port 100M Unmanaged Industrial Switch,Industrial Switch,NetLine,ISW,8FE-U,,,,,,12-48V DC,,,,,,,,,,,,8,RJ45,100M,No,unmanaged,0,-20°C to 70°C,factory network; PLC communication,industrial switch;8 port;unmanaged
ISW-8G-U,NetLine 8-Port Gigabit Unmanaged Industrial Switch,Industrial Switch,NetLine,ISW,8G-U,,,,,,12-48V DC,,,,,,,,,,,,8,RJ45,Gigabit,No,unmanaged,0,-40°C to 75°C,machine network; high speed PLC data,industrial switch;8 port;gigabit;unmanaged
ISW-8G-2F-M,NetLine 8-Port Gigabit Managed Industrial Switch with 2 Fiber,Industrial Switch,NetLine,ISW,8G-2F-M,,,,,,12-48V DC,,,,,,,,,,,,8,RJ45 + fiber,Gigabit,No,managed,2,-40°C to 75°C,factory backbone; remote I/O network,industrial switch;managed;fiber;gigabit
ISW-4G-4POE-U,NetLine 4-Port Gigabit PoE Industrial Switch,Industrial Switch,NetLine,ISW,4G-4POE-U,,,,,,12-48V DC,,,,,,,,,,,,4,RJ45,Gigabit,Yes,unmanaged,0,-20°C to 70°C,IP camera; machine vision,industrial switch;PoE;gigabit;camera
ISW-8G-8POE-M,NetLine 8-Port Gigabit Managed PoE Industrial Switch,Industrial Switch,NetLine,ISW,8G-8POE-M,,,,,,12-48V DC,,,,,,,,,,,,8,RJ45,Gigabit,Yes,managed,0,-40°C to 75°C,machine vision; security camera network,industrial switch;managed;PoE;8 port
ISW-16FE-U,FactoryNet 16-Port 100M Unmanaged Industrial Switch,Industrial Switch,FactoryNet,FSW,16FE-U,,,,,,12-48V DC,,,,,,,,,,,,16,RJ45,100M,No,unmanaged,0,-20°C to 70°C,large cabinet network; PLC connection,industrial switch;16 port;unmanaged
ISW-16G-4F-M,FactoryNet 16-Port Gigabit Managed Switch with 4 Fiber,Industrial Switch,FactoryNet,FSW,16G-4F-M,,,,,,12-48V DC,,,,,,,,,,,,16,RJ45 + fiber,Gigabit,No,managed,4,-40°C to 75°C,factory backbone; redundant ring,industrial switch;16 port;managed;fiber
ISW-5G-2F-MINI,NetLine Compact 5-Port Gigabit Switch with 2 Fiber,Industrial Switch,NetLine,ISW,5G-2F-MINI,,,,,,12-48V DC,,,,,,,,,,,,5,RJ45 + fiber,Gigabit,No,unmanaged,2,-40°C to 75°C,compact cabinet; remote PLC network,industrial switch;compact;fiber;gigabit
ISW-24G-4F-M,FactoryNet 24-Port Gigabit Managed Industrial Switch,Industrial Switch,FactoryNet,FSW,24G-4F-M,,,,,,12-48V DC,,,,,,,,,,,,24,RJ45 + fiber,Gigabit,No,managed,4,-40°C to 75°C,large factory network; backbone aggregation,industrial switch;24 port;managed;backbone
